iter	Passed	Remaining
884	2723	12665
885	2726	12662
886	2729	12658
887	2732	12654
888	2735	12650
889	2738	12647
890	2741	12643
891	2744	12639
892	2747	12635
893	2750	12631
894	2753	12627
895	2756	12623
896	2758	12619
897	2761	12616
898	2764	12612
899	2767	12608
900	2770	12605
901	2773	12601
902	2776	12598
903	2779	12594
904	2782	12590
905	2785	12587
906	2788	12583
907	2791	12580
908	2794	12576
909	2797	12573
910	2800	12571
911	2803	12567
912	2806	12563
913	2809	12560
914	2812	12556
915	2815	12553
916	2818	12549
917	2821	12545
918	2824	12542
919	2827	12538
920	2830	12535
921	2833	12531
922	2836	12527
923	2839	12523
924	2842	12520
925	2844	12516
926	2847	12512
927	2850	12509
928	2853	12506
929	2856	12503
930	2859	12499
931	2862	12496
932	2865	12492
933	2868	12488
934	2871	12484
935	2874	12481
936	2877	12478
937	2880	12476
938	2884	12473
939	2887	12470
940	2890	12467
941	2893	12463
942	2896	12460
943	2899	12456
944	2902	12453
945	2905	12450
946	2908	12447
947	2911	12443
948	2914	12440
949	2917	12438
950	2920	12434
951	2923	12430
952	2926	12426
953	2929	12423
954	2932	12420
955	2935	12418
956	2938	12415
957	2941	12411
958	2944	12408
959	2947	12405
960	2950	12402
961	2953	12398
962	2956	12395
963	2959	12391
964	2962	12387
965	2965	12385
966	2968	12382
967	2971	12378
968	2974	12374
969	2977	12371
970	2980	12367
971	2983	12364
972	2986	12361
973	2989	12358
974	2992	12355
975	2995	12351
976	2998	12348
977	3002	12345
978	3005	12343
979	3008	12340
980	3011	12336
981	3014	12333
982	3017	12330
983	3020	12327
984	3023	12325
985	3027	12324
986	3030	12322
987	3034	12321
988	3037	12318
989	3040	12316
990	3044	12314
991	3047	12312
992	3050	12309
993	3053	12306
994	3056	12303
995	3059	12300
996	3063	12298
997	3066	12296
998	3069	12292
999	3072	12289
1000	3075	12287
1001	3078	12284
1002	3082	12282
1003	3085	12280
1004	3088	12276
1005	3091	12273
1006	3094	12270
1007	3097	12266
1008	3100	12263
1009	3103	12259
1010	3106	12256
1011	3109	12253
1012	3112	12250
1013	3115	12246
1014	3118	12243
1015	3121	12240
1016	3124	12237
1017	3127	12233
1018	3130	12230
1019	3133	12226
1020	3136	12223
1021	3139	12220
1022	3142	12217
1023	3145	12213
1024	3148	12210
1025	3151	12207
1026	3154	12203
1027	3157	12200
1028	3160	12197
1029	3163	12193
1030	3166	12190
1031	3169	12187
1032	3172	12183
1033	3175	12180
1034	3178	12176
1035	3181	12173
1036	3184	12169
1037	3187	12165
1038	3190	12162
1039	3193	12159
1040	3196	12155
1041	3199	12152
1042	3202	12148
1043	3205	12145
1044	3208	12141
1045	3210	12137
1046	3213	12134
1047	3216	12131
1048	3220	12128
1049	3223	12125
1050	3226	12121
1051	3229	12118
1052	3232	12115
1053	3234	12111
1054	3238	12108
1055	3241	12104
1056	3244	12101
1057	3247	12098
1058	3250	12095
1059	3253	12092
1060	3256	12090
1061	3259	12087
1062	3262	12084
1063	3265	12081
1064	3268	12078
1065	3271	12074
1066	3274	12071
1067	3277	12068
1068	3280	12064
1069	3283	12061
1070	3286	12058
1071	3289	12054
1072	3292	12051
1073	3295	12048
1074	3298	12045
1075	3301	12041
1076	3304	12038
1077	3307	12034
1078	3310	12031
1079	3314	12028
1080	3316	12025
1081	3320	12022
1082	3323	12019
1083	3326	12016
1084	3329	12012
1085	3332	12009
1086	3335	12005
1087	3337	12002
1088	3341	11999
1089	3344	11995
1090	3346	11991
1091	3349	11988
1092	3352	11985
1093	3356	11982
1094	3359	11980
1095	3362	11976
1096	3365	11973
1097	3368	11970
1098	3371	11967
1099	3374	11964
1100	3377	11960
1101	3380	11957
1102	3383	11953
1103	3386	11949
1104	3389	11946
1105	3392	11943
1106	3395	11940
1107	3398	11937
1108	3401	11934
1109	3404	11930
1110	3407	11927
1111	3410	11923
1112	3413	11920
1113	3416	11916
1114	3419	11913
1115	3422	11909
1116	3424	11906
1117	3427	11902
1118	3430	11899
1119	3433	11895
1120	3436	11892
1121	3439	11889
1122	3442	11885
1123	3445	11881
1124	3448	11878
1125	3451	11875
1126	3454	11871
1127	3457	11867
1128	3460	11864
1129	3463	11860
1130	3466	11857
1131	3469	11854
1132	3472	11850
1133	3475	11847
1134	3478	11843
1135	3480	11840
1136	3483	11836
1137	3486	11833
1138	3489	11829
1139	3492	11826
1140	3495	11822
1141	3498	11819
1142	3501	11815
1143	3504	11812
1144	3507	11808
1145	3510	11805
1146	3513	11802
1147	3516	11799
1148	3519	11796
1149	3522	11793
1150	3525	11790
1151	3528	11786
1152	3531	11783
1153	3534	11779
1154	3537	11776
1155	3540	11773
1156	3543	11770
1157	3546	11767
1158	3549	11763
1159	3552	11760
1160	3555	11757
1161	3558	11754
1162	3561	11751
1163	3564	11748
1164	3567	11744
1165	3570	11741
1166	3573	11737
1167	3576	11733
1168	3579	11730
1169	3582	11726
1170	3585	11723
1171	3588	11720
1172	3591	11717
1173	3594	11714
1174	3597	11711
1175	3600	11708
1176	3603	11704
