iter	Passed	Remaining
848	2614	12781
849	2617	12777
850	2619	12773
851	2622	12769
852	2625	12764
853	2628	12761
854	2631	12756
855	2634	12753
856	2637	12748
857	2642	12755
858	2645	12753
859	2648	12749
860	2651	12745
861	2654	12742
862	2657	12738
863	2660	12735
864	2663	12732
865	2666	12728
866	2669	12724
867	2672	12720
868	2675	12716
869	2677	12712
870	2680	12708
871	2683	12704
872	2686	12701
873	2689	12697
874	2692	12693
875	2695	12689
876	2698	12685
877	2701	12681
878	2704	12678
879	2707	12674
880	2710	12670
881	2712	12666
882	2715	12663
883	2718	12659
884	2721	12656
885	2724	12652
886	2727	12648
887	2730	12644
888	2733	12641
889	2736	12637
890	2739	12634
891	2742	12630
892	2745	12626
893	2748	12622
894	2751	12618
895	2753	12614
896	2756	12610
897	2759	12606
898	2762	12602
899	2765	12598
900	2768	12594
901	2771	12591
902	2774	12587
903	2777	12583
904	2779	12578
905	2782	12575
906	2785	12570
907	2788	12566
908	2791	12562
909	2794	12559
910	2797	12556
911	2800	12553
912	2803	12548
913	2806	12545
914	2809	12541
915	2811	12537
916	2814	12533
917	2818	12530
918	2820	12526
919	2823	12523
920	2826	12519
921	2829	12516
922	2832	12513
923	2835	12509
924	2841	12516
925	2844	12514
926	2847	12511
927	2850	12507
928	2853	12504
929	2856	12500
930	2859	12496
931	2862	12493
932	2865	12489
933	2868	12486
934	2871	12482
935	2874	12478
936	2877	12475
937	2880	12471
938	2882	12468
939	2886	12465
940	2889	12461
941	2891	12457
942	2894	12454
943	2897	12450
944	2900	12447
945	2903	12443
946	2906	12440
947	2909	12436
948	2912	12432
949	2915	12429
950	2918	12426
951	2921	12422
952	2924	12418
953	2927	12416
954	2930	12412
955	2933	12408
956	2936	12405
957	2939	12402
958	2942	12398
959	2945	12395
960	2948	12392
961	2951	12388
962	2954	12385
963	2957	12382
964	2960	12379
965	2963	12375
966	2966	12372
967	2969	12368
968	2972	12364
969	2975	12362
970	2978	12358
971	2981	12354
972	2984	12351
973	2987	12347
974	2990	12344
975	2993	12340
976	2996	12336
977	2999	12333
978	3002	12330
979	3005	12326
980	3007	12322
981	3010	12318
982	3013	12315
983	3016	12311
984	3019	12307
985	3022	12304
986	3025	12300
987	3028	12297
988	3031	12293
989	3034	12289
990	3036	12285
991	3041	12289
992	3044	12286
993	3047	12282
994	3050	12278
995	3053	12275
996	3056	12271
997	3059	12268
998	3062	12264
999	3065	12261
1000	3068	12258
1001	3071	12254
1002	3074	12251
1003	3077	12247
1004	3080	12243
1005	3082	12239
1006	3085	12236
1007	3088	12232
1008	3091	12229
1009	3094	12225
1010	3097	12222
1011	3100	12218
1012	3103	12215
1013	3106	12211
1014	3109	12208
1015	3112	12205
1016	3115	12201
1017	3118	12197
1018	3121	12193
1019	3124	12190
1020	3127	12186
1021	3130	12183
1022	3132	12179
1023	3135	12175
1024	3138	12172
1025	3141	12169
1026	3144	12166
1027	3147	12162
1028	3150	12158
1029	3153	12155
1030	3156	12152
1031	3159	12148
1032	3162	12144
1033	3165	12141
1034	3168	12137
1035	3171	12133
1036	3174	12129
1037	3176	12126
1038	3180	12123
1039	3183	12119
1040	3186	12116
1041	3189	12113
1042	3191	12109
1043	3194	12106
1044	3197	12103
1045	3200	12099
1046	3203	12096
1047	3207	12094
1048	3210	12090
1049	3213	12087
1050	3216	12083
1051	3218	12080
1052	3221	12076
1053	3224	12072
1054	3227	12069
1055	3230	12065
1056	3233	12062
1057	3236	12059
1058	3241	12063
1059	3244	12059
1060	3247	12056
1061	3250	12052
1062	3253	12049
1063	3256	12045
1064	3259	12042
1065	3262	12038
1066	3265	12035
1067	3268	12031
1068	3270	12028
1069	3273	12024
1070	3276	12021
1071	3279	12018
1072	3282	12014
1073	3285	12011
1074	3288	12007
1075	3291	12004
1076	3294	12000
1077	3297	11996
1078	3300	11993
1079	3303	11990
1080	3306	11986
1081	3309	11982
1082	3312	11979
1083	3314	11975
1084	3317	11971
1085	3320	11968
1086	3323	11964
1087	3326	11960
1088	3329	11956
1089	3332	11953
1090	3335	11949
1091	3338	11945
1092	3341	11942
1093	3343	11939
1094	3346	11935
1095	3349	11932
1096	3352	11928
1097	3355	11925
1098	3358	11921
1099	3361	11918
1100	3364	11914
1101	3367	11911
1102	3370	11907
1103	3373	11904
1104	3376	11900
1105	3379	11897
1106	3382	11893
1107	3384	11890
1108	3388	11887
1109	3390	11883
1110	3393	11879
1111	3396	11876
1112	3399	11872
1113	3402	11869
1114	3405	11866
1115	3408	11863
1116	3411	11859
1117	3414	11855
1118	3417	11852
1119	3420	11848
1120	3423	11845
1121	3426	11841
1122	3429	11838
1123	3432	11835
1124	3435	11832
1125	3438	11831
1126	3442	11829
1127	3445	11825
1128	3447	11821
1129	3450	11817
1130	3453	11814
1131	3456	11810
1132	3459	11808
1133	3462	11805
1134	3465	11802
1135	3468	11798
1136	3471	11795
1137	3474	11792
1138	3477	11788
1139	3480	11785
1140	3483	11781
1141	3486	11778
1142	3489	11774
1143	3492	11771
1144	3495	11768
1145	3498	11765
1146	3501	11761
1147	3504	11758
1148	3507	11754
1149	3510	11751
1150	3513	11747
1151	3515	11744
1152	3518	11740
1153	3521	11737
1154	3524	11733
1155	3527	11729
1156	3530	11726
1157	3533	11722
1158	3536	11719
1159	3539	11716
1160	3542	11712
1161	3545	11709
1162	3547	11705
1163	3550	11702
1164	3553	11699
1165	3556	11695
1166	3559	11691
1167	3562	11687
1168	3565	11684
1169	3568	11680
1170	3571	11677
1171	3574	11674
1172	3577	11670
1173	3580	11667
1174	3582	11663
1175	3585	11660
1176	3588	11656
1177	3591	11653
1178	3594	11650
1179	3597	11647
1180	3600	11643
1181	3603	11640
1182	3606	11636
1183	3609	11633
1184	3612	11630
1185	3615	11627
1186	3618	11623
1187	3621	11621
1188	3624	11617
1189	3627	11614
1190	3630	11611
1191	3634	11609
1192	3638	11610
1193	3641	11608
1194	3644	11604
1195	3647	11601
1196	3650	11598
1197	3653	11595
1198	3656	11592
1199	3659	11589
1200	3662	11585
1201	3665	11582
1202	3668	11578
1203	3671	11575
1204	3674	11572
1205	3677	11568
1206	3680	11565
1207	3683	11562
1208	3686	11558
1209	3689	11555
1210	3692	11552
1211	3695	11549
1212	3698	11545
1213	3701	11542
1214	3704	11538
1215	3707	11535
1216	3709	11532
1217	3712	11528
1218	3715	11525
1219	3718	11521
1220	3721	11518
1221	3724	11514
1222	3727	11511
1223	3730	11509
1224	3733	11506
1225	3736	11503
1226	3739	11499
1227	3742	11496
1228	3745	11493
1229	3748	11489
1230	3751	11486
1231	3754	11483
1232	3757	11480
1233	3760	11476
1234	3763	11473
1235	3766	11470
1236	3769	11466
1237	3772	11463
1238	3775	11460
1239	3778	11457
1240	3781	11454
1241	3784	11451
1242	3787	11447
1243	3790	11444
1244	3793	11442
1245	3796	11439
1246	3800	11436
1247	3802	11433
1248	3805	11429
1249	3808	11426
1250	3811	11423
1251	3814	11419
1252	3817	11416
1253	3820	11413
1254	3824	11411
1255	3827	11408
1256	3830	11405
1257	3832	11401
1258	3838	11404
1259	3841	11401
1260	3844	11398
1261	3847	11395
1262	3850	11392
1263	3853	11389
1264	3856	11385
1265	3859	11382
1266	3862	11379
1267	3865	11375
1268	3867	11372
1269	3870	11368
1270	3873	11365
1271	3876	11362
1272	3879	11359
1273	3882	11356
1274	3886	11354
1275	3889	11350
1276	3892	11347
1277	3895	11344
1278	3898	11341
1279	3901	11338
1280	3904	11335
1281	3907	11332
1282	3910	11328
1283	3913	11325
1284	3916	11323
1285	3919	11320
1286	3923	11317
1287	3926	11314
1288	3929	11311
1289	3931	11308
1290	3935	11305
1291	3938	11302
1292	3942	11302
1293	3945	11299
1294	3948	11296
1295	3951	11293
1296	3954	11290
1297	3957	11288
1298	3961	11285
1299	3964	11282
1300	3967	11279
1301	3970	11276
1302	3973	11273
1303	3976	11270
1304	3979	11267
1305	3982	11264
1306	3985	11261
1307	3988	11257
1308	3991	11254
1309	3994	11251
1310	3997	11247
1311	4000	11244
1312	4003	11241
1313	4006	11238
1314	4009	11235
1315	4012	11231
1316	4015	11228
1317	4018	11224
1318	4020	11221
1319	4023	11218
1320	4026	11215
1321	4029	11211
1322	4032	11208
1323	4037	11211
1324	4041	11208
1325	4043	11204
1326	4046	11201
1327	4049	11197
1328	4052	11194
1329	4055	11191
1330	4058	11187
1331	4061	11184
1332	4064	11180
1333	4067	11177
1334	4070	11174
1335	4073	11171
1336	4076	11167
1337	4079	11164
1338	4082	11161
1339	4085	11158
1340	4088	11155
1341	4091	11152
1342	4094	11148
1343	4097	11145
1344	4100	11142
1345	4103	11139
1346	4106	11136
1347	4109	11133
1348	4112	11130
1349	4115	11127
1350	4118	11124
1351	4121	11121
1352	4124	11118
1353	4127	11114
1354	4130	11112
1355	4133	11109
1356	4137	11106
1357	4140	11103
1358	4143	11099
1359	4146	11096
1360	4149	11093
1361	4152	11090
1362	4155	11087
1363	4158	11084
1364	4161	11081
1365	4164	11078
1366	4167	11075
1367	4170	11073
1368	4174	11071
1369	4177	11069
1370	4180	11066
1371	4183	11063
1372	4186	11059
1373	4189	11056
1374	4192	11053
1375	4196	11051
1376	4199	11048
1377	4202	11045
1378	4205	11042
1379	4208	11039
1380	4211	11036
1381	4214	11033
1382	4217	11030
1383	4220	11027
1384	4223	11024
1385	4226	11021
1386	4229	11018
1387	4232	11015
1388	4238	11018
1389	4241	11016
1390	4244	11013
1391	4247	11010
1392	4250	11006
1393	4253	11003
1394	4256	11000
1395	4259	10997
1396	4262	10993
1397	4265	10990
1398	4268	10987
1399	4271	10983
1400	4274	10980
1401	4277	10977
1402	4280	10974
1403	4283	10970
1404	4286	10967
1405	4289	10964
1406	4292	10961
1407	4295	10958
1408	4298	10954
1409	4301	10951
1410	4304	10948
1411	4307	10945
1412	4310	10941
1413	4313	10938
1414	4316	10934
1415	4319	10931
1416	4322	10929
1417	4325	10925
1418	4328	10922
1419	4331	10919
1420	4334	10916
1421	4337	10912
1422	4340	10909
1423	4342	10906
1424	4345	10902
1425	4348	10899
1426	4351	10896
1427	4354	10892
1428	4357	10889
1429	4360	10886
1430	4363	10882
1431	4366	10879
1432	4369	10875
1433	4372	10872
1434	4375	10868
1435	4377	10865
1436	4380	10862
1437	4383	10859
1438	4386	10855
1439	4389	10852
1440	4392	10849
1441	4395	10846
1442	4398	10843
1443	4401	10839
1444	4404	10836
1445	4407	10833
1446	4411	10830
1447	4414	10827
1448	4416	10824
1449	4419	10820
1450	4422	10817
1451	4425	10814
1452	4428	10811
1453	4431	10807
1454	4436	10810
1455	4440	10808
1456	4443	10805
1457	4446	10802
1458	4449	10798
1459	4452	10795
1460	4455	10792
1461	4458	10789
1462	4461	10786
1463	4464	10783
1464	4467	10780
1465	4470	10776
1466	4473	10773
1467	4476	10769
1468	4479	10766
1469	4481	10762
1470	4485	10759
1471	4487	10756
1472	4490	10753
1473	4493	10749
1474	4496	10746
1475	4499	10742
1476	4502	10739
